"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Race"	"Race Code"	"Sex"	"Sex Code"	Deaths	Population	Crude Rate
	"2013"	"2013"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8984	1405371	639.3
	"2013"	"2013"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9904	1373480	721.1
"Total"	"2013"	"2013"	"California"	"06"	"Black or African American"	"2054-5"			18888	2778851	679.7
	"2013"	"2013"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	100025	14384306	695.4
	"2013"	"2013"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	104233	14487994	719.4
"Total"	"2013"	"2013"	"California"	"06"	"White"	"2106-3"			204258	28872300	707.5
"Total"	"2013"	"2013"	"California"	"06"					248359	38332521	647.9
	"2013"	"2013"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	151	42156	358.2
	"2013"	"2013"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	207	43207	479.1
"Total"	"2013"	"2013"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			358	85363	419.4
	"2013"	"2013"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	283	106256	266.3
	"2013"	"2013"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	308	92689	332.3
"Total"	"2013"	"2013"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			591	198945	297.1
	"2013"	"2013"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	201	47463	423.5
	"2013"	"2013"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	291	54257	536.3
"Total"	"2013"	"2013"	"Oregon"	"41"	"Black or African American"	"2054-5"			492	101720	483.7
	"2013"	"2013"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	16128	1789780	901.1
	"2013"	"2013"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	16370	1754257	933.2
"Total"	"2013"	"2013"	"Oregon"	"41"	"White"	"2106-3"			32498	3544037	917.0
"Total"	"2013"	"2013"	"Oregon"	"41"					33939	3930065	863.6
	"2013"	"2013"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	367	77445	473.9
	"2013"	"2013"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	461	78217	589.4
"Total"	"2013"	"2013"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			828	155662	531.9
	"2013"	"2013"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1068	347209	307.6
	"2013"	"2013"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1029	307790	334.3
"Total"	"2013"	"2013"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			2097	654999	320.2
	"2013"	"2013"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	598	160325	373.0
	"2013"	"2013"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	851	183917	462.7
"Total"	"2013"	"2013"	"Washington"	"53"	"Black or African American"	"2054-5"			1449	344242	420.9
	"2013"	"2013"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	23258	2903757	801.0
	"2013"	"2013"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	23632	2912746	811.3
"Total"	"2013"	"2013"	"Washington"	"53"	"White"	"2106-3"			46890	5816503	806.2
"Total"	"2013"	"2013"	"Washington"	"53"					51264	6971406	735.3
"Total"	"2013"	"2013"							333562	49233992	677.5
	"2014"	"2014"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	798	380444	209.8
	"2014"	"2014"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	960	388066	247.4
"Total"	"2014"	"2014"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1758	768510	228.8
	"2014"	"2014"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	11692	3204482	364.9
	"2014"	"2014"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	12047	2908740	414.2
"Total"	"2014"	"2014"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			23739	6113222	388.3
	"2014"	"2014"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9076	1418637	639.8
	"2014"	"2014"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	10033	1389925	721.8
"Total"	"2014"	"2014"	"California"	"06"	"Black or African American"	"2054-5"			19109	2808562	680.4
	"2014"	"2014"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	97936	14530033	674.0
	"2014"	"2014"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	103387	14582173	709.0
"Total"	"2014"	"2014"	"California"	"06"	"White"	"2106-3"			201323	29112206	691.5
"Total"	"2014"	"2014"	"California"	"06"					245929	38802500	633.8
	"2014"	"2014"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	182	42897	424.3
	"2014"	"2014"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	189	43747	432.0
"Total"	"2014"	"2014"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			371	86644	428.2
	"2014"	"2014"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	302	110761	272.7
	"2014"	"2014"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	303	97502	310.8
"Total"	"2014"	"2014"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			605	208263	290.5
	"2014"	"2014"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	211	48883	431.6
	"2014"	"2014"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	249	55925	445.2
"Total"	"2014"	"2014"	"Oregon"	"41"	"Black or African American"	"2054-5"			460	104808	438.9
	"2014"	"2014"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	16020	1803598	888.2
	"2014"	"2014"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	16695	1766926	944.9
"Total"	"2014"	"2014"	"Oregon"	"41"	"White"	"2106-3"			32715	3570524	916.3
"Total"	"2014"	"2014"	"Oregon"	"41"					34151	3970239	860.2
	"2014"	"2014"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	386	79278	486.9
	"2014"	"2014"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	450	80206	561.1
"Total"	"2014"	"2014"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			836	159484	524.2
	"2014"	"2014"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1103	362009	304.7
	"2014"	"2014"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1065	322880	329.8
"Total"	"2014"	"2014"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			2168	684889	316.5
	"2014"	"2014"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	627	165248	379.4
	"2014"	"2014"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	890	190325	467.6
"Total"	"2014"	"2014"	"Washington"	"53"	"Black or African American"	"2054-5"			1517	355573	426.6
	"2014"	"2014"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	23316	2925060	797.1
	"2014"	"2014"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	24262	2936524	826.2
"Total"	"2014"	"2014"	"Washington"	"53"	"White"	"2106-3"			47578	5861584	811.7
"Total"	"2014"	"2014"	"Washington"	"53"					52099	7061530	737.8
"Total"	"2014"	"2014"							332179	49834269	666.6
	"2015"	"2015"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	888	382459	232.2
	"2015"	"2015"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	1075	390250	275.5
"Total"	"2015"	"2015"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1963	772709	254.0
	"2015"	"2015"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	12899	3289643	392.1
	"2015"	"2015"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	13105	2986427	438.8
"Total"	"2015"	"2015"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			26004	6276070	414.3
	"2015"	"2015"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9593	1425867	672.8
	"2015"	"2015"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	10538	1401954	751.7
"Total"	"2015"	"2015"	"California"	"06"	"Black or African American"	"2054-5"			20131	2827821	711.9
	"2015"	"2015"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	102744	14603781	703.5
	"2015"	"2015"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	108364	14664437	739.0
"Total"	"2015"	"2015"	"California"	"06"	"White"	"2106-3"			211108	29268218	721.3
"Total"	"2015"	"2015"	"California"	"06"					259206	39144818	662.2
	"2015"	"2015"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	189	43770	431.8
	"2015"	"2015"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	215	44653	481.5
"Total"	"2015"	"2015"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			404	88423	456.9
	"2015"	"2015"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	341	115977	294.0
	"2015"	"2015"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	328	102036	321.5
"Total"	"2015"	"2015"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			669	218013	306.9
	"2015"	"2015"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	214	50666	422.4
	"2015"	"2015"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	306	57841	529.0
"Total"	"2015"	"2015"	"Oregon"	"41"	"Black or African American"	"2054-5"			520	108507	479.2
	"2015"	"2015"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	16954	1825394	928.8
	"2015"	"2015"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	17158	1788640	959.3
"Total"	"2015"	"2015"	"Oregon"	"41"	"White"	"2106-3"			34112	3614034	943.9
"Total"	"2015"	"2015"	"Oregon"	"41"					35705	4028977	886.2
	"2015"	"2015"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	383	81040	472.6
	"2015"	"2015"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	476	81981	580.6
"Total"	"2015"	"2015"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			859	163021	526.9
	"2015"	"2015"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1219	379545	321.2
	"2015"	"2015"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1149	338023	339.9
"Total"	"2015"	"2015"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			2368	717568	330.0
	"2015"	"2015"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	697	170595	408.6
	"2015"	"2015"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	957	195796	488.8
"Total"	"2015"	"2015"	"Washington"	"53"	"Black or African American"	"2054-5"			1654	366391	451.4
	"2015"	"2015"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	24493	2954173	829.1
	"2015"	"2015"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	25221	2969198	849.4
"Total"	"2015"	"2015"	"Washington"	"53"	"White"	"2106-3"			49714	5923371	839.3
"Total"	"2015"	"2015"	"Washington"	"53"					54595	7170351	761.4
"Total"	"2015"	"2015"							349506	50344146	694.2
	"2016"	"2016"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	888	383030	231.8
	"2016"	"2016"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	1102	390325	282.3
"Total"	"2016"	"2016"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1990	773355	257.3
	"2016"	"2016"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	13256	3332913	397.7
	"2016"	"2016"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	13543	3029885	447.0
"Total"	"2016"	"2016"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			26799	6362798	421.2
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9781	1426985	685.4
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	10850	1402279	773.7
"Total"	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"			20631	2829264	729.2
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	103055	14613728	705.2
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	109765	14670872	748.2
"Total"	"2016"	"2016"	"California"	"06"	"White"	"2106-3"			212820	29284600	726.7
"Total"	"2016"	"2016"	"California"	"06"					262240	39250017	668.1
	"2016"	"2016"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	179	44314	403.9
	"2016"	"2016"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	219	45562	480.7
"Total"	"2016"	"2016"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			398	89876	442.8
	"2016"	"2016"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	371	119322	310.9
	"2016"	"2016"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	369	105851	348.6
"Total"	"2016"	"2016"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			740	225173	328.6
	"2016"	"2016"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	230	52508	438.0
	"2016"	"2016"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	292	60159	485.4
"Total"	"2016"	"2016"	"Oregon"	"41"	"Black or African American"	"2054-5"			522	112667	463.3
	"2016"	"2016"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	16633	1850311	898.9
	"2016"	"2016"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	17485	1815438	963.1
"Total"	"2016"	"2016"	"Oregon"	"41"	"White"	"2106-3"			34118	3665749	930.7
"Total"	"2016"	"2016"	"Oregon"	"41"					35778	4093465	874.0
	"2016"	"2016"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	407	83003	490.3
	"2016"	"2016"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	528	83148	635.0
"Total"	"2016"	"2016"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			935	166151	562.7
	"2016"	"2016"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1222	391415	312.2
	"2016"	"2016"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1224	351719	348.0
"Total"	"2016"	"2016"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			2446	743134	329.1
	"2016"	"2016"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	686	175798	390.2
	"2016"	"2016"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	988	200569	492.6
"Total"	"2016"	"2016"	"Washington"	"53"	"Black or African American"	"2054-5"			1674	376367	444.8
	"2016"	"2016"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	24207	2996384	807.9
	"2016"	"2016"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	25507	3005964	848.5
"Total"	"2016"	"2016"	"Washington"	"53"	"White"	"2106-3"			49714	6002348	828.2
"Total"	"2016"	"2016"	"Washington"	"53"					54769	7288000	751.5
"Total"	"2016"	"2016"							352787	50631482	696.8
	"2017"	"2017"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	858	384689	223.0
	"2017"	"2017"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	1197	391973	305.4
"Total"	"2017"	"2017"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			2055	776662	264.6
	"2017"	"2017"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	14110	3430594	411.3
	"2017"	"2017"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	14366	3118068	460.7
"Total"	"2017"	"2017"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			28476	6548662	434.8
	"2017"	"2017"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9944	1431051	694.9
	"2017"	"2017"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	11070	1410736	784.7
"Total"	"2017"	"2017"	"California"	"06"	"Black or African American"	"2054-5"			21014	2841787	739.5
	"2017"	"2017"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	104775	14642766	715.5
	"2017"	"2017"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	111869	14726776	759.6
"Total"	"2017"	"2017"	"California"	"06"	"White"	"2106-3"			216644	29369542	737.6
"Total"	"2017"	"2017"	"California"	"06"					268189	39536653	678.3
	"2017"	"2017"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	193	45176	427.2
	"2017"	"2017"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	250	46476	537.9
"Total"	"2017"	"2017"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			443	91652	483.4
	"2017"	"2017"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	416	125282	332.1
	"2017"	"2017"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	367	110740	331.4
"Total"	"2017"	"2017"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			783	236022	331.7
	"2017"	"2017"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	222	54900	404.4
	"2017"	"2017"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	330	62480	528.2
"Total"	"2017"	"2017"	"Oregon"	"41"	"Black or African American"	"2054-5"			552	117380	470.3
	"2017"	"2017"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	17116	1864429	918.0
	"2017"	"2017"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	17730	1833293	967.1
"Total"	"2017"	"2017"	"Oregon"	"41"	"White"	"2106-3"			34846	3697722	942.4
"Total"	"2017"	"2017"	"Oregon"	"41"					36624	4142776	884.0
	"2017"	"2017"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	430	84466	509.1
	"2017"	"2017"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	540	85286	633.2
"Total"	"2017"	"2017"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			970	169752	571.4
	"2017"	"2017"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1381	411878	335.3
	"2017"	"2017"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1333	371826	358.5
"Total"	"2017"	"2017"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			2714	783704	346.3
	"2017"	"2017"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	728	181069	402.1
	"2017"	"2017"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	1059	206724	512.3
"Total"	"2017"	"2017"	"Washington"	"53"	"Black or African American"	"2054-5"			1787	387793	460.8
	"2017"	"2017"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	25001	3024857	826.5
	"2017"	"2017"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	26523	3039637	872.6
"Total"	"2017"	"2017"	"Washington"	"53"	"White"	"2106-3"			51524	6064494	849.6
"Total"	"2017"	"2017"	"Washington"	"53"					56995	7405743	769.6
"Total"	"2017"	"2017"							361808	51085172	708.2
	"2018"	"2018"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	880	385545	228.2
	"2018"	"2018"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	1185	392414	302.0
"Total"	"2018"	"2018"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			2065	777959	265.4
	"2018"	"2018"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	14354	3468631	413.8
	"2018"	"2018"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	14965	3157535	473.9
"Total"	"2018"	"2018"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			29319	6626166	442.5
	"2018"	"2018"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	10052	1433638	701.2
	"2018"	"2018"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	11426	1417457	806.1
"Total"	"2018"	"2018"	"California"	"06"	"Black or African American"	"2054-5"			21478	2851095	753.3
	"2018"	"2018"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	103417	14605654	708.1
	"2018"	"2018"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	112539	14696171	765.8
"Total"	"2018"	"2018"	"California"	"06"	"White"	"2106-3"			215956	29301825	737.0
"Total"	"2018"	"2018"	"California"	"06"					268818	39557045	679.6
	"2018"	"2018"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	186	45963	404.7
	"2018"	"2018"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	222	47437	468.0
"Total"	"2018"	"2018"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			408	93400	436.8
	"2018"	"2018"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	404	130852	308.7
	"2018"	"2018"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	399	116304	343.1
"Total"	"2018"	"2018"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			803	247156	324.9
	"2018"	"2018"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	265	56575	468.4
	"2018"	"2018"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	346	64823	533.8
"Total"	"2018"	"2018"	"Oregon"	"41"	"Black or African American"	"2054-5"			611	121398	503.3
	"2018"	"2018"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	16661	1879829	886.3
	"2018"	"2018"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	17704	1848930	957.5
"Total"	"2018"	"2018"	"Oregon"	"41"	"White"	"2106-3"			34365	3728759	921.6
"Total"	"2018"	"2018"	"Oregon"	"41"					36187	4190713	863.5
	"2018"	"2018"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	437	86105	507.5
	"2018"	"2018"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	563	87082	646.5
"Total"	"2018"	"2018"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			1000	173187	577.4
	"2018"	"2018"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	1453	434717	334.2
	"2018"	"2018"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	1364	396058	344.4
"Total"	"2018"	"2018"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			2817	830775	339.1
	"2018"	"2018"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	774	188454	410.7
	"2018"	"2018"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	1036	214948	482.0
"Total"	"2018"	"2018"	"Washington"	"53"	"Black or African American"	"2054-5"			1810	403402	448.7
	"2018"	"2018"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	24819	3056404	812.0
	"2018"	"2018"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	26431	3071823	860.4
"Total"	"2018"	"2018"	"Washington"	"53"	"White"	"2106-3"			51250	6128227	836.3
"Total"	"2018"	"2018"	"Washington"	"53"					56877	7535591	754.8
"Total"	"2018"	"2018"							361882	51283349	705.7
	"2019"	"2019"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	927	385101	240.7
	"2019"	"2019"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	1164	391583	297.3
"Total"	"2019"	"2019"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			2091	776684	269.2
	"2019"	"2019"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	14463	3493211	414.0
	"2019"	"2019"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	15048	3185423	472.4
"Total"	"2019"	"2019"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			29511	6678634	441.9
	"2019"	"2019"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9959	1432396	695.3
	"2019"	"2019"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	11653	1420744	820.2
"Total"	"2019"	"2019"	"California"	"06"	"Black or African American"	"2054-5"			21612	2853140	757.5
	"2019"	"2019"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	102786	14556661	706.1
	"2019"	"2019"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	113831	14647104	777.2
"Total"	"2019"	"2019"	"California"	"06"	"White"	"2106-3"			216617	29203765	741.7
"Total"	"2019"	"2019"	"California"	"06"					269831	39512223	682.9
	"2019"	"2019"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	185	46612	396.9
	"2019"	"2019"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	206	48005	429.1
"Total"	"2019"	"2019"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			391	94617	413.2
	"2019"	"2019"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	462	132434	348.9
	"2019"	"2019"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	445	117983	377.2
"Total"	"2019"	"2019"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			907	250417	362.2
	"2019"	"2019"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	243	57237	424.6
	"2019"	"2019"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	340	65782	516.9
"Total"	"2019"	"2019"	"Oregon"	"41"	"Black or African American"	"2054-5"			583	123019	473.9
	"2019"	"2019"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	17141	1890727	906.6
	"2019"	"2019"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	18348	1858957	987.0
"Total"	"2019"	"2019"	"Oregon"	"41"	"White"	"2106-3"			35489	3749684	946.5
"Total"	"2019"	"2019"	"Oregon"	"41"					37370	4217737	886.0
	"2019"	"2019"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	460	87424	526.2
	"2019"	"2019"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	523	88595	590.3
"Total"	"2019"	"2019"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			983	176019	558.5
