County,Year,Month,EstTotalAcres
Jefferson,2021,8,1.7
Jefferson,2021,10,0.1
Jefferson,2022,7,278.01
Jefferson,2022,8,18.75
Josephine,2000,5,0.36
Josephine,2000,6,1.83
Josephine,2000,7,1.9
Josephine,2000,8,11.8
Josephine,2000,9,0.71
Josephine,2000,10,8.629999999999999
Josephine,2001,5,4.94
Josephine,2001,6,13.780000000000001
Josephine,2001,7,110.61
Josephine,2001,8,15.459999999999999
Josephine,2001,9,18.15
Josephine,2001,10,1.16
Josephine,2002,5,3.11
Josephine,2002,6,8.31
Josephine,2002,7,999902.81
Josephine,2002,8,1.41
Josephine,2002,9,29.91
Josephine,2002,10,0.92
Josephine,2002,11,4.41
Josephine,2003,5,47.25
Josephine,2003,6,129.75
Josephine,2003,7,273.40000000000003
Josephine,2003,8,6.12
Josephine,2003,9,13.25
Josephine,2003,10,1.03
Josephine,2004,3,10.0
Josephine,2004,4,0.26
Josephine,2004,5,0.35
Josephine,2004,6,21.14
Josephine,2004,7,5.11
Josephine,2004,8,217.7
Josephine,2004,9,29.98
Josephine,2004,10,6.34
Josephine,2005,3,0.01
Josephine,2005,4,1.0
Josephine,2005,5,0.37
Josephine,2005,6,6.7299999999999995
Josephine,2005,7,8.27
Josephine,2005,8,1555.91
Josephine,2005,9,0.9400000000000001
Josephine,2005,10,6.27
Josephine,2006,2,4.0
Josephine,2006,4,0.1
Josephine,2006,5,5.97
Josephine,2006,6,3.56
Josephine,2006,7,4.47
Josephine,2006,8,5.7
Josephine,2006,9,2.92
Josephine,2006,10,0.51
Josephine,2007,3,3.5
Josephine,2007,4,0.1
Josephine,2007,5,2.25
Josephine,2007,6,4.03
Josephine,2007,7,286.29
Josephine,2007,8,22.099999999999998
Josephine,2007,9,2.39
Josephine,2007,10,2.51
Josephine,2007,11,0.5
Josephine,2008,4,3.7
Josephine,2008,5,67.32
Josephine,2008,6,47.74
Josephine,2008,7,94.03
Josephine,2008,8,1092.98
Josephine,2008,9,1.61
Josephine,2008,10,0.25
Josephine,2009,4,6.0
Josephine,2009,6,10.78
Josephine,2009,7,3.28
Josephine,2009,8,55.19
Josephine,2009,9,4.84
Josephine,2009,10,0.97
Josephine,2010,7,3.8400000000000003
Josephine,2010,8,7496.51
Josephine,2010,9,3.56
Josephine,2010,10,0.31
Josephine,2011,5,2.0
Josephine,2011,6,1.3
Josephine,2011,7,2.4299999999999997
Josephine,2011,8,22.18
Josephine,2011,9,82.00999999999999
Josephine,2011,10,22.0
Josephine,2012,5,0.12
Josephine,2012,6,0.32
Josephine,2012,7,22.97
Josephine,2012,8,2.31
Josephine,2012,9,186.91
Josephine,2012,10,0.7000000000000001
Josephine,2013,4,1.11
Josephine,2013,5,153.59
Josephine,2013,6,13.09
Josephine,2013,7,47267.25
Josephine,2013,8,23.2
Josephine,2013,9,0.55
Josephine,2013,10,2.01
Josephine,2013,11,5.529999999999999
Josephine,2014,4,7.0
Josephine,2014,5,5.87
Josephine,2014,6,8.530000000000001
Josephine,2014,7,188.78
Josephine,2014,8,12.67
Josephine,2014,9,4106.66
Josephine,2014,10,0.21000000000000002
Josephine,2015,1,1.0
Josephine,2015,4,2.52
Josephine,2015,5,16.369999999999997
Josephine,2015,6,17.91
Josephine,2015,7,2.56
Josephine,2015,8,81.82
Josephine,2015,9,0.5900000000000001
Josephine,2015,10,14.36
Josephine,2016,4,3.85
Josephine,2016,5,4.01
Josephine,2016,6,1.1500000000000001
Josephine,2016,7,1.81
Josephine,2016,8,122.85
Josephine,2016,9,3.08
Josephine,2016,10,0.19
Josephine,2017,5,2.28
Josephine,2017,6,6.96
Josephine,2017,7,9498.05
Josephine,2017,8,584.14
Josephine,2017,9,4.94
Josephine,2017,10,1.6099999999999999
Josephine,2017,11,0.02
Josephine,2017,12,0.01
Josephine,2018,2,19.3
Josephine,2018,4,0.12000000000000001
Josephine,2018,5,5.05
Josephine,2018,6,27.95
Josephine,2018,7,57065.689999999995
Josephine,2018,8,52.46
Josephine,2018,9,218.27
Josephine,2018,10,79.11
Josephine,2018,11,2.48
Josephine,2019,3,2.0
Josephine,2019,4,0.11
Josephine,2019,5,3.0300000000000002
Josephine,2019,6,6.1499999999999995
Josephine,2019,7,60.02
Josephine,2019,8,4.199999999999999
Josephine,2019,9,13.33
Josephine,2019,10,32.15
Josephine,2019,11,2.35
Josephine,2020,2,1.85
Josephine,2020,3,12.389999999999999
Josephine,2020,4,27.889999999999997
Josephine,2020,5,1.11
Josephine,2020,6,0.4
Josephine,2020,7,6.75
Josephine,2020,8,1.08
Josephine,2020,9,0.8200000000000001
Josephine,2020,10,4.12
Josephine,2020,11,0.05
Josephine,2021,3,2.1
Josephine,2021,4,49.65
Josephine,2021,5,10.75
Josephine,2021,6,1.34
Josephine,2021,7,9.16
Josephine,2021,8,8.879999999999999
Josephine,2021,9,1.02
Josephine,2021,10,2.1
Josephine,2021,11,0.01
Josephine,2022,2,1.6099999999999999
Josephine,2022,3,0.1
Josephine,2022,4,13.35
Josephine,2022,5,0.95
Josephine,2022,6,6.8999999999999995
Josephine,2022,7,30.21
Josephine,2022,8,21405.809999999998
Josephine,2022,9,0.88
Josephine,2022,10,2.66
Josephine,2022,11,0.01
Klamath,2000,4,32.14
Klamath,2000,5,36.39
Klamath,2000,6,9.37
Klamath,2000,7,39.33
Klamath,2000,8,117.69
Klamath,2000,9,1.1300000000000001
Klamath,2000,10,6.47
Klamath,2001,3,23.01
Klamath,2001,4,0.3
Klamath,2001,5,83.67
Klamath,2001,6,0.82
Klamath,2001,7,59.11
Klamath,2001,8,1919.7
Klamath,2001,9,2.85
Klamath,2001,10,1.5
Klamath,2001,11,6.02
Klamath,2002,2,0.02
Klamath,2002,3,0.1
Klamath,2002,4,20.91
Klamath,2002,5,108.91
Klamath,2002,6,3.0700000000000003
Klamath,2002,7,2550.14
Klamath,2002,8,0.25
Klamath,2002,9,1.27
Klamath,2002,10,1.72
Klamath,2002,11,152.89000000000001
Klamath,2003,4,0.02
Klamath,2003,5,0.38
Klamath,2003,6,14.149999999999999
Klamath,2003,7,26.41
Klamath,2003,8,553.21
Klamath,2003,9,2.37
Klamath,2003,10,0.5
Klamath,2003,11,0.26
Klamath,2004,3,0.25
Klamath,2004,4,2.01
Klamath,2004,5,20.729999999999997
Klamath,2004,6,3.67
Klamath,2004,7,26.42
Klamath,2004,8,23.58
Klamath,2004,9,1.55
Klamath,2004,10,0.33
Klamath,2005,3,8.8
Klamath,2005,4,1.75
Klamath,2005,5,0.1
Klamath,2005,6,0.74
Klamath,2005,7,2231.34
Klamath,2005,8,5.15
Klamath,2005,9,665.16
Klamath,2005,10,37.49
Klamath,2006,4,0.0
Klamath,2006,5,11.55
Klamath,2006,6,10.629999999999999
Klamath,2006,7,12.34
Klamath,2006,8,8.56
Klamath,2006,9,3.1300000000000003
Klamath,2006,10,30.91
Klamath,2007,3,0.75
Klamath,2007,4,18.52
Klamath,2007,5,6.88
Klamath,2007,6,7.819999999999999
Klamath,2007,7,324.96000000000004
Klamath,2007,8,8.89
Klamath,2007,9,0.76
Klamath,2007,10,2.04
Klamath,2008,5,0.25
Klamath,2008,6,506.53999999999996
Klamath,2008,7,3.49
Klamath,2008,8,5.64
Klamath,2008,9,0.65
Klamath,2008,10,1.5
Klamath,2009,4,7.14
Klamath,2009,5,3.5700000000000003
Klamath,2009,6,0.73
Klamath,2009,7,23.43
Klamath,2009,8,1.1700000000000002
Klamath,2009,9,186.26999999999998
Klamath,2009,10,19.610000000000003
Klamath,2009,11,4.0
Klamath,2010,3,3.6
Klamath,2010,4,0.2
Klamath,2010,5,9.71
Klamath,2010,6,0.47000000000000003
Klamath,2010,7,27.2
Klamath,2010,8,14.940000000000001
Klamath,2010,9,3.9299999999999997
Klamath,2010,10,1.03
Klamath,2011,4,0.1
Klamath,2011,5,1.1
Klamath,2011,6,0.5700000000000001
Klamath,2011,7,48.18
Klamath,2011,8,20.36
Klamath,2011,9,2.93
Klamath,2011,10,0.5
Klamath,2011,12,0.0
Klamath,2012,5,18.61
Klamath,2012,6,10.44
Klamath,2012,7,49.84
Klamath,2012,8,18.43
Klamath,2012,9,2.3200000000000003
Klamath,2012,10,10.3
Klamath,2013,4,26.82
Klamath,2013,5,38.16
Klamath,2013,6,1.65
Klamath,2013,7,359.84999999999997
Klamath,2013,8,161.87
Klamath,2013,9,4.220000000000001
Klamath,2013,10,1.6300000000000001
Klamath,2014,2,0.1
Klamath,2014,3,0.7999999999999999
Klamath,2014,4,0.1
Klamath,2014,5,8.02
Klamath,2014,6,1360.95
Klamath,2014,7,2848.0099999999998
Klamath,2014,8,8.26
Klamath,2014,9,0.30000000000000004
Klamath,2014,10,0.4
Klamath,2015,3,0.0
Klamath,2015,4,2.17
Klamath,2015,5,1.55
Klamath,2015,6,8.040000000000001
Klamath,2015,7,5.42
Klamath,2015,8,3.1900000000000004
Klamath,2015,9,4.3
Klamath,2015,10,0.0
Klamath,2015,11,0.0
Klamath,2016,4,1.12
Klamath,2016,5,6.24
Klamath,2016,6,7.35
Klamath,2016,7,3.71
Klamath,2016,8,11.79
Klamath,2016,9,9.83
Klamath,2016,10,0.1
Klamath,2017,4,0.5
Klamath,2017,5,36.949999999999996
Klamath,2017,6,5.5200000000000005
Klamath,2017,7,1790.68
Klamath,2017,8,445.77000000000004
Klamath,2017,9,0.45
Klamath,2017,10,23.740000000000002
Klamath,2018,3,0.76
Klamath,2018,4,3.5
Klamath,2018,5,28.779999999999998
Klamath,2018,6,2.31
Klamath,2018,7,197.15
Klamath,2018,8,12.4
Klamath,2018,9,0.38
Klamath,2018,10,2.44
Klamath,2018,11,3.0100000000000002
Klamath,2019,1,23.9
Klamath,2019,4,3.85
Klamath,2019,5,54.57
Klamath,2019,6,5.73
Klamath,2019,7,20.37
Klamath,2019,8,1303.3500000000001
Klamath,2019,9,2.12
Klamath,2019,10,2.88
Klamath,2019,11,5.91
Klamath,2020,2,1.7
Klamath,2020,3,0.1
Klamath,2020,4,11.499999999999998
Klamath,2020,5,27.46
Klamath,2020,6,2.91
Klamath,2020,7,96.09
Klamath,2020,8,7.21
Klamath,2020,9,14478.6
Klamath,2020,10,0.0
Klamath,2021,3,97.92999999999999
Klamath,2021,4,1651.76
Klamath,2021,5,721.59
Klamath,2021,6,1367.9699999999998
Klamath,2021,7,413749.47
Klamath,2021,8,187.67000000000002
Klamath,2021,9,58.54
Klamath,2021,10,0.85
Klamath,2022,2,2.5
Klamath,2022,3,0.1
Klamath,2022,4,0.2
Klamath,2022,5,0.55
Klamath,2022,6,0.9
Klamath,2022,7,1.94
Klamath,2022,8,12.879999999999999
Klamath,2022,9,2662.55
Klamath,2022,10,0.7000000000000001
Lake,2000,5,4.5
Lake,2000,7,0.65
Lake,2000,9,0.7
Lake,2001,6,1.61
Lake,2001,7,44.55
Lake,2001,8,7.1499999999999995
Lake,2001,9,0.2
Lake,2002,6,2.5100000000000002
Lake,2002,7,128491.5
Lake,2002,8,1.2
Lake,2003,5,40.9
Lake,2003,6,0.25
Lake,2003,7,3.03
Lake,2003,9,1.45
Lake,2004,5,2.5
Lake,2004,6,0.8
Lake,2004,7,5.3
Lake,2004,8,0.56
Lake,2004,10,0.1
Lake,2005,3,0.4
Lake,2005,6,0.7
Lake,2005,7,0.35
Lake,2005,8,6.199999999999999
Lake,2005,9,0.1
Lake,2005,10,0.2
Lake,2006,6,0.5
Lake,2006,7,119.6
Lake,2006,8,0.37
Lake,2006,9,0.01
Lake,2006,10,0.1
Lake,2007,5,0.25
Lake,2007,6,0.1
Lake,2007,7,634.62
Lake,2007,8,1.25
Lake,2007,9,1.3
Lake,2008,7,2.0700000000000003
Lake,2008,8,51.71
Lake,2008,9,0.1
Lake,2008,10,0.1
Lake,2009,5,0.1
Lake,2009,7,0.1
Lake,2009,8,0.2
Lake,2010,6,0.2
Lake,2010,7,1.85
Lake,2010,8,6.01
Lake,2010,9,0.35
Lake,2011,6,0.25
Lake,2011,7,0.25
Lake,2011,8,0.01
Lake,2011,9,0.01
Lake,2012,7,0.26
Lake,2012,8,93091.6
Lake,2012,9,0.1
Lake,2012,10,0.25
Lake,2013,4,0.65
Lake,2013,5,1.4
Lake,2013,7,139.67
Lake,2013,8,3.28
Lake,2014,4,0.1
Lake,2014,5,1.7
Lake,2014,6,0.30000000000000004
Lake,2014,7,1.2
Lake,2014,8,12.93
Lake,2015,4,1.21
Lake,2015,6,0.41
Lake,2015,7,1.7000000000000002
Lake,2015,8,0.30000000000000004
Lake,2015,9,0.1
Lake,2016,5,13.3
Lake,2016,6,0.1
Lake,2016,7,0.2
Lake,2016,8,3430.4
Lake,2016,9,8.2
Lake,2016,10,0.1
Lake,2017,6,0.2
Lake,2017,7,52168.31
Lake,2017,8,782.1
Lake,2017,9,0.2
Lake,2017,10,0.0
Lake,2018,4,1.0
Lake,2018,6,0.25
Lake,2018,7,1.9600000000000002
Lake,2018,8,58755.7
Lake,2018,9,0.2
Lake,2019,4,166.0
Lake,2019,5,0.1
Lake,2019,6,0.6
Lake,2019,7,1.8
Lake,2019,8,0.11
Lake,2019,9,0.30000000000000004
Lake,2019,11,0.75
Lake,2020,7,1254.28
Lake,2020,8,2999.96
Lake,2020,9,50951.1
Lake,2020,11,0.25
Lake,2021,5,0.1
Lake,2021,6,0.55
Lake,2021,7,16400.1
Lake,2021,8,20332.0
Lake,2021,9,91730.1
Lake,2022,3,43.5
Lake,2022,4,1.4
Lake,2022,5,0.1
Lake,2022,6,0.2
Lake,2022,8,0.56
Lake,2022,10,0.0
Lane,2000,3,0.36
Lane,2000,4,0.24
Lane,2000,5,0.1
Lane,2000,6,2.77
Lane,2000,7,14.23
Lane,2000,8,13.629999999999999
Lane,2000,9,16.46
Lane,2000,10,17.11
Lane,2001,1,22.009999999999998
Lane,2001,2,0.4
Lane,2001,3,1.0
Lane,2001,4,15.0
Lane,2001,5,15.04
Lane,2001,6,0.23
Lane,2001,7,13.84
Lane,2001,8,0.86
Lane,2001,9,52.809999999999995
Lane,2001,10,15.67
Lane,2002,4,2.0
Lane,2002,5,4.1
Lane,2002,6,1.18
Lane,2002,7,9.14
Lane,2002,8,846.87
Lane,2002,9,63.19
Lane,2002,10,3.6999999999999997
Lane,2002,11,3.67
Lane,2002,12,0.31
Lane,2003,2,0.5
Lane,2003,4,0.01
Lane,2003,5,0.55
Lane,2003,6,653.55
Lane,2003,7,4968.91
Lane,2003,8,6.28
Lane,2003,9,5.47
Lane,2003,10,2.87
Lane,2004,2,0.35
Lane,2004,3,13.31
Lane,2004,4,7.09
Lane,2004,5,31.770000000000003
Lane,2004,6,7.420000000000001
Lane,2004,7,5.83
Lane,2004,8,1.6500000000000001
Lane,2004,9,0.2
Lane,2004,10,0.11
Lane,2005,2,0.3
Lane,2005,3,59.47
Lane,2005,5,0.07
Lane,2005,7,2.09
Lane,2005,8,5.0600000000000005
Lane,2005,9,8.26
Lane,2005,10,0.02
Lane,2006,2,4.5
Lane,2006,4,0.36
Lane,2006,5,5.64
Lane,2006,6,0.62
Lane,2006,7,2.08
Lane,2006,8,42.56
Lane,2006,9,2.7800000000000002
Lane,2006,10,6.33
Lane,2006,11,0.01
Lane,2007,1,1.5
Lane,2007,3,1.51
Lane,2007,4,2.21
Lane,2007,5,4.78
Lane,2007,6,3.91
Lane,2007,7,11.93
Lane,2007,8,82.28999999999999
Lane,2007,9,8.51
Lane,2007,10,289.34
Lane,2007,11,0.13
Lane,2008,4,0.75
Lane,2008,5,0.37
Lane,2008,6,1.85
Lane,2008,7,9.43
Lane,2008,8,49.43
Lane,2008,9,8.27
Lane,2008,10,0.6
Lane,2009,3,0.01
Lane,2009,4,0.55
Lane,2009,5,50.06
Lane,2009,6,1.51
Lane,2009,7,3.56
Lane,2009,8,5.87
Lane,2009,9,14561.39
Lane,2009,10,1.15
Lane,2009,11,0.01
Lane,2009,12,0.01
Lane,2010,2,0.26
Lane,2010,3,0.1
Lane,2010,6,0.26
Lane,2010,7,1.94
Lane,2010,8,20.080000000000002
Lane,2010,9,0.31000000000000005
Lane,2010,10,0.36
Lane,2011,2,0.21000000000000002
Lane,2011,4,0.1
Lane,2011,6,0.01
Lane,2011,7,0.48
Lane,2011,8,22.220000000000002
Lane,2011,9,1.65
Lane,2011,10,2.27
Lane,2011,11,0.15
Lane,2012,5,2.91
Lane,2012,7,0.03
Lane,2012,8,4.319999999999999
Lane,2012,9,24.16
Lane,2012,10,6.01
Lane,2013,4,4.75
Lane,2013,5,44.54
Lane,2013,6,0.37
Lane,2013,7,130.91
Lane,2013,8,7.43
Lane,2013,9,0.88
Lane,2013,10,14.27
Lane,2014,3,2.5
Lane,2014,4,0.55
Lane,2014,5,0.0
Lane,2014,6,2.81
Lane,2014,7,5.87
Lane,2014,8,32.53
Lane,2014,9,33.79
Lane,2014,10,0.12000000000000001
Lane,2015,2,0.0
Lane,2015,5,6.31
Lane,2015,6,0.13
Lane,2015,7,17.49
Lane,2015,8,198.03
Lane,2015,9,33.99
Lane,2015,10,47.38
Lane,2015,12,0.03
Lane,2016,5,15.94
Lane,2016,6,25.75
Lane,2016,7,13.04
Lane,2016,8,202.72
Lane,2016,9,15.219999999999999
Lane,2016,10,0.17
Lane,2016,11,0.01
Lane,2017,5,31.04
Lane,2017,6,4.12
Lane,2017,7,81.17999999999999
Lane,2017,8,14150.56
Lane,2017,9,3.0100000000000002
Lane,2017,10,11.92
Lane,2017,11,0.05
Lane,2018,1,0.01
Lane,2018,3,0.01
Lane,2018,4,0.03
Lane,2018,5,5.51
Lane,2018,6,3.53
Lane,2018,7,16.95
Lane,2018,8,11611.4
Lane,2018,9,30.07
Lane,2018,10,2.79
Lane,2018,11,0.76
Lane,2019,3,2.85
Lane,2019,4,0.37
Lane,2019,5,87.41
Lane,2019,6,0.66
Lane,2019,7,19.88
Lane,2019,8,54.220000000000006
Lane,2019,9,1.76
Lane,2019,10,13.100000000000001
Lane,2020,3,1.1
Lane,2020,4,1.73
Lane,2020,5,0.1
Lane,2020,6,0.22
Lane,2020,7,1.15
Lane,2020,8,331.9
Lane,2020,9,173416.87000000002
Lane,2020,10,5.52
Lane,2020,11,0.02
Lane,2021,1,0.01
Lane,2021,3,0.13
Lane,2021,4,19.42
Lane,2021,5,0.93
Lane,2021,6,0.8300000000000001
Lane,2021,7,50438.3
Lane,2021,8,23.25
Lane,2021,9,1.34
Lane,2021,10,0.1
Lane,2021,11,0.02
Lane,2022,4,0.75
Lane,2022,5,1.85
Lane,2022,6,0.38
Lane,2022,7,1.12
Lane,2022,8,3.29
Lane,2022,9,0.92
Lane,2022,10,5.27
Lane,2022,11,1.51
Lincoln,2000,6,2.02
Lincoln,2000,7,0.21000000000000002
Lincoln,2000,8,0.14
Lincoln,2000,9,0.15
Lincoln,2000,10,1.16
Lincoln,2000,11,3.5
Lincoln,2001,2,0.1
Lincoln,2001,6,0.25
Lincoln,2001,7,0.7
Lincoln,2001,8,0.1
Lincoln,2001,9,0.26
Lincoln,2001,10,0.51
Lincoln,2001,11,0.01
Lincoln,2002,3,0.5
Lincoln,2002,5,0.02
Lincoln,2002,7,0.28
Lincoln,2002,8,0.04
Lincoln,2002,9,0.26
Lincoln,2002,10,7.27
Lincoln,2002,11,92.25
Lincoln,2003,6,35.9
Lincoln,2003,7,0.6599999999999999
Lincoln,2003,8,1.48
Lincoln,2003,9,0.01
Lincoln,2003,10,3.75
Lincoln,2003,12,0.01
Lincoln,2004,5,0.02
Lincoln,2004,7,0.11
Lincoln,2004,8,0.08
Lincoln,2005,2,1.25
Lincoln,2005,3,2.05
Lincoln,2005,5,1.0
Lincoln,2005,6,0.02
Lincoln,2005,7,2.5
Lincoln,2005,8,0.25
Lincoln,2005,12,141.0
Lincoln,2006,2,1.25
Lincoln,2006,5,1.53
Lincoln,2006,6,4.03
Lincoln,2006,7,18.3
Lincoln,2006,8,1.0
Lincoln,2006,9,16.990000000000002
Lincoln,2006,10,0.75
Lincoln,2007,1,3.0
Lincoln,2007,2,0.25
Lincoln,2007,5,0.1
Lincoln,2007,7,0.30000000000000004
Lincoln,2007,9,0.1
Lincoln,2007,10,110.11999999999999
Lincoln,2008,6,1.66
Lincoln,2008,7,0.5
Lincoln,2008,8,0.01
Lincoln,2008,10,0.01
Lincoln,2009,7,0.2
Lincoln,2009,8,0.45
Lincoln,2010,6,0.01
Lincoln,2010,7,0.12000000000000001
Lincoln,2010,8,0.03
Lincoln,2010,9,0.1
Lincoln,2011,8,2.52
Lincoln,2011,9,0.31
Lincoln,2011,10,0.25
Lincoln,2012,3,0.01
Lincoln,2012,4,0.01
Lincoln,2012,8,0.04
Lincoln,2012,9,0.6900000000000001
Lincoln,2012,10,6.18
Lincoln,2013,6,0.2
Lincoln,2013,7,0.46
Lincoln,2013,8,1.03
Lincoln,2013,10,49.56
Lincoln,2014,1,8.5
Lincoln,2014,5,0.01
Lincoln,2014,6,0.02
Lincoln,2014,7,0.13
Lincoln,2014,8,0.04
Lincoln,2014,9,0.82
Lincoln,2014,10,0.01
Lincoln,2015,3,0.02
Lincoln,2015,6,0.47000000000000003
Lincoln,2015,7,5.76
Lincoln,2015,8,0.11
Lincoln,2015,9,15.0
Lincoln,2015,10,0.01
Lincoln,2016,8,202.13
Lincoln,2016,9,0.6
Lincoln,2017,6,0.1
Lincoln,2017,7,0.02
Lincoln,2017,8,0.26
Lincoln,2017,9,0.1
Lincoln,2017,10,140.0
Lincoln,2018,6,0.02
Lincoln,2018,7,35.309999999999995
Lincoln,2018,9,0.01
Lincoln,2019,3,9.67
Lincoln,2019,5,3.76
Lincoln,2019,6,108.01
Lincoln,2020,3,1.8
Lincoln,2020,7,0.01
Lincoln,2020,8,0.11
Lincoln,2020,9,2160.77
Lincoln,2021,6,0.01
Lincoln,2021,7,0.03
Lincoln,2021,8,0.060000000000000005
Lincoln,2021,9,3.3499999999999996
Lincoln,2022,7,0.03
Lincoln,2022,8,0.08
Lincoln,2022,9,0.7
Lincoln,2022,10,0.02
Lincoln,2022,11,21.01
Linn,2000,3,0.01
Linn,2000,6,0.1
Linn,2000,7,0.06
Linn,2000,8,7.8
Linn,2000,9,0.86
Linn,2000,10,0.22
Linn,2001,3,0.31
Linn,2001,4,0.1
Linn,2001,6,0.01
Linn,2001,7,0.54
Linn,2001,8,14.750000000000002
Linn,2001,9,3.57
Linn,2001,10,1.33
Linn,2002,3,2.0
Linn,2002,5,0.30000000000000004
Linn,2002,6,0.01
Linn,2002,7,0.08
Linn,2002,8,53.290000000000006
Linn,2002,9,0.74
Linn,2002,10,5.02
Linn,2002,11,0.75
Linn,2003,6,4.3
Linn,2003,7,39.72
Linn,2003,8,22.11
Linn,2003,9,3.03
Linn,2003,10,0.26
Linn,2003,11,0.01
Linn,2004,3,0.75
Linn,2004,4,0.01
Linn,2004,5,3.21
Linn,2004,6,0.04
Linn,2004,7,0.14
Linn,2004,8,0.01
Linn,2004,9,0.01
Linn,2005,3,1.2
Linn,2005,5,0.03
Linn,2005,6,0.21000000000000002
Linn,2005,7,8.15
Linn,2005,8,5.01
Linn,2005,9,1.42
Linn,2005,10,1.0
Linn,2006,4,0.03
Linn,2006,5,8.07
Linn,2006,6,0.51
Linn,2006,7,5.8999999999999995
Linn,2006,8,105.09
Linn,2006,9,1070.3
Linn,2006,10,0.02
Linn,2007,5,0.11
Linn,2007,6,0.28
Linn,2007,7,0.25
Linn,2007,8,1.48
Linn,2007,9,11.38
Linn,2007,10,75.0
Linn,2007,11,25.2
Linn,2008,2,4.0
Linn,2008,4,5.0
Linn,2008,6,0.04
Linn,2008,7,0.84
Linn,2008,8,0.12
Linn,2008,9,0.01
Linn,2008,10,0.5
Linn,2008,12,0.01
Linn,2009,4,2.0
Linn,2009,5,0.01
Linn,2009,6,0.11
Linn,2009,7,0.66
Linn,2009,8,0.86
Linn,2009,9,0.36000000000000004
Linn,2009,10,0.28
Linn,2009,11,0.04
Linn,2010,7,0.7000000000000001
Linn,2010,8,3.4
Linn,2010,9,0.01
Linn,2011,7,0.05
Linn,2011,8,1.24
Linn,2011,9,0.4
Linn,2011,10,0.03
Linn,2011,12,5.0
Linn,2012,8,0.01
Linn,2012,9,3.28
Linn,2012,10,16.9
Linn,2013,7,0.13
Linn,2013,8,0.02
Linn,2013,9,0.46
Linn,2014,1,83.0
Linn,2014,4,0.01
Linn,2014,7,0.42000000000000004
Linn,2014,8,2.13
Linn,2014,9,1.44
Linn,2014,10,0.9400000000000001
Linn,2014,11,0.25
Linn,2014,12,0.01
Linn,2015,2,0.01
Linn,2015,3,0.03
Linn,2015,5,1.0
Linn,2015,7,24.28
Linn,2015,8,18.67
Linn,2015,9,4.42
Linn,2015,10,0.14
Linn,2015,11,0.01
Linn,2016,4,6.3999999999999995
Linn,2016,7,0.05
Linn,2016,8,1.4
Linn,2016,9,1.65
Linn,2017,6,2.51
Linn,2017,7,1.45
Linn,2017,8,0.4
Linn,2017,9,0.26
Linn,2017,10,0.05
Linn,2018,5,1.52
Linn,2018,6,0.04
Linn,2018,7,0.53
Linn,2018,8,13.22
Linn,2018,9,0.61
Linn,2018,10,1.33
Linn,2018,11,0.16
Linn,2019,3,0.0
Linn,2019,4,0.19
Linn,2019,5,1.18
Linn,2019,6,1.01
Linn,2019,7,1.8199999999999998
Linn,2019,8,0.79
Linn,2019,9,0.63
Linn,2019,10,0.16
Linn,2019,11,2.0
Linn,2020,2,0.01
Linn,2020,5,0.11
Linn,2020,7,0.18000000000000002
Linn,2020,8,19.82
Linn,2020,9,16.84
Linn,2020,10,0.01
Linn,2021,4,0.02
Linn,2021,5,0.02
Linn,2021,6,0.30000000000000004
Linn,2021,7,9.16
Linn,2021,8,0.02
Linn,2021,9,3.63
Linn,2022,6,0.01
Linn,2022,7,0.07
Linn,2022,8,0.25
Linn,2022,9,0.72
Linn,2022,10,0.11
Linn,2022,11,0.2
Malheur,2002,8,0.01
Malheur,2007,7,453.6
Malheur,2014,9,0.25
Malheur,2020,8,3703.0
Marion,2000,4,1.51
Marion,2000,6,3.0
Marion,2000,7,1.37
Marion,2000,8,5.5600000000000005
Marion,2000,9,13.549999999999999
Marion,2000,10,0.02
Marion,2001,2,0.1
Marion,2001,7,2.03
Marion,2001,8,5.02
Marion,2001,9,0.01
Marion,2002,4,1.0
Marion,2002,7,0.01
Marion,2002,8,0.77
Marion,2002,10,6.0
Marion,2003,6,0.01
Marion,2003,7,98.19000000000001
Marion,2003,8,33.45
Marion,2003,9,6.109999999999999
Marion,2003,10,0.1
Marion,2003,11,0.25
Marion,2004,4,0.5
Marion,2004,5,0.03
Marion,2004,6,0.01
Marion,2004,7,2.27
Marion,2004,8,2.25
Marion,2004,9,0.02
Marion,2004,10,0.5
Marion,2005,3,1.0
Marion,2005,6,0.09
Marion,2005,7,0.61
Marion,2005,8,0.29000000000000004
Marion,2005,9,0.42000000000000004
Marion,2006,5,72.0
Marion,2006,6,0.02
Marion,2006,7,3.8899999999999997
Marion,2006,8,3.58
Marion,2006,9,2.4
Marion,2006,10,0.02
Marion,2007,5,90.0
Marion,2007,7,0.68
Marion,2007,8,0.04
Marion,2007,9,0.83
Marion,2007,10,107.0
Marion,2008,7,0.060000000000000005
Marion,2008,8,8.47
Marion,2008,9,2.75
Marion,2009,5,0.25
Marion,2009,7,1.04
Marion,2009,8,15.65
Marion,2009,9,2.11
Marion,2010,7,0.21000000000000002
Marion,2010,8,0.02
Marion,2010,9,0.5
Marion,2011,7,0.01
Marion,2011,8,1.63
Marion,2011,9,1.6
Marion,2012,5,8.0
Marion,2012,6,0.01
Marion,2012,8,4.01
Marion,2012,9,0.6
Marion,2012,10,2.26
Marion,2013,6,1.0
Marion,2013,7,0.5
Marion,2013,8,0.05
Marion,2013,9,0.25
Marion,2014,1,332.25
Marion,2014,6,0.05
